state,penalty_enhancement,race_religion_ethnicity,sexual_orientation,gender,gender_identity,disability,other,civil_action,data_collection,police_training,institutional_vandalism,cross_burning
South Dakota,SD ST § 22-19B-1 (1993),YES,NO,NO,NO,NO,NO,SD ST § 20-9-32,NA,NA,SD ST § 22-19B-2 ,SD ST § 22-19B-2 
Tennessee,TN ST § 40-35-114 (1989),YES,YES,YES,NO,YES,YES,TN ST § 4-21-701,NA,NA,TN ST § 39-17-311; TN ST § 39-14-301 (1989),NA
Texas,TX PENAL § 12.47 (1993),YES,YES,YES,NO,YES,YES,TX CRIM PRO Art. 42.037,TX GOVT § 411.046 (1991),TX GOVT § 22.111,TX PENAL § 28.03; TX PENAL § 28.08,NA
Utah,UT Code § 76-3-203.3,NO,NO,NO,NO,NO,NO,NA,UT Code § 53-10-202,NA,NA,NA
Vermont,VT ST T. 13 § 1455 (1990),YES,YES,YES,YES,YES,YES,VT ST T. 13 § 1457; VT ST T. 13 § 1466 (1990),NA,NA,NA,VT ST T. 13 § 1456 (1990)
Virginia,VA ST § 18.2-57,YES,NO,NO,NO,NO,NO,VA ST § 8.01-42.1  ,VA ST § 52-8.5 (1988),NA,VA ST § 18.2.127; VA ST § 18.2.138,VA ST § 18.2-423
Washington,WA ST 9A.36.080 (1993),YES,YES,YES,YES,YES,NO,WA ST 9A.36.083 (1993),WA ST 36.28A.030,WA ST 43.101.290,WA ST 9A.36.080; WA ST 9.61.160,WA ST 9A.36.080 (1993)
West Virginia,WV ST § 61-6-21  (1993),YES,NO,YES,NO,NO,YES,WV ST § 5-11-20 ,NA,NA,NA,NA
Wisconsin,WI ST 939.645 (1996),YES,YES,NO,NO,YES,NO,WI ST 895.443,NA,NA,WI ST 943.012 (1996),NA
Wyoming,NA,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA
