City,State,Type,Year,Count,Full,match_addr,latitude,longitude
Denver,CO,Anti-Jewish,2004,3,Colorado,"Denver, Colorado",39.740012,-104.992019
Cheshire,CT,Anti-Jewish,2004,1,Connecticut,"Cheshire, Connecticut",41.5083668,-72.9106202
Danbury,CT,Anti-Jewish,2004,2,Connecticut,"Danbury, Connecticut",41.394817,-73.4540111
Derby,CT,Anti-Jewish,2004,1,Connecticut,"Derby, Connecticut",41.3206523,-73.0889973
Guilford,CT,Anti-Jewish,2004,1,Connecticut,"Guilford, Connecticut",41.288906,-72.674364
Hamden,CT,Anti-Jewish,2004,1,Connecticut,"Hamden, Connecticut",41.3838782,-72.9026064
Madison,CT,Anti-Jewish,2004,1,Connecticut,"Madison, Connecticut",41.2959908,-72.5754149
Meriden,CT,Anti-Jewish,2004,1,Connecticut,"Meriden, Connecticut",41.5381535,-72.8070435
Milford,CT,Anti-Jewish,2004,1,Connecticut,"Milford, Connecticut",41.2306979,-73.064036
New Haven,CT,Anti-Jewish,2004,1,Connecticut,"New Haven, Connecticut",41.307622,-72.924619
Newtown,CT,Anti-Jewish,2004,1,Connecticut,"Newtown, Connecticut",41.4141172,-73.3035651
Middleton,CT,Anti-Jewish,2004,1,Connecticut,"Middleton, Connecticut",41.5623209,-72.6506488
Washington,DC,Anti-Jewish,2004,2,District of Columbia,"Washington, District of Columbia",38.890373,-77.031958
New Castle County,DE,Anti-Jewish,2004,0,Delaware,"New Castle County, Delaware",39.5392979,-75.667356
Chicago,IL,Anti-Jewish,2004,5,Illinois,"Chicago, Illinois",41.884253,-87.632449
Indianapolis,IN,Anti-Jewish,2004,0,Indiana,"Indianapolis, Indiana",39.766913,-86.149957
New Orleans,LA,Anti-Jewish,2004,2,Louisiana,"New Orleans, Louisiana",29.953701,-90.077751
Baltimore,MD,Anti-Jewish,2004,2,Maryland,"Baltimore, Maryland",39.290583,-76.609261
Kingsford,MI,Anti-Jewish,2004,0,Michigan,"Kingsford, Michigan",45.7949561,-88.0720706
Genesee,MI,Anti-Jewish,2004,0,Michigan,"Genesee, Michigan",43.0777289,-83.6773928
Clayton Township,MI,Anti-Jewish,2004,0,Michigan,"Clayton Township, Michigan",42.9913566,-83.8685072
Flint,MI,Anti-Jewish,2004,0,Michigan,"Flint, Michigan",43.011444,-83.686788
Hillsdale,MI,Anti-Jewish,2004,0,Michigan,"Hillsdale, Michigan",41.9200472,-84.6305101
Lansing,MI,Anti-Jewish,2004,1,Michigan,"Lansing, Michigan",42.73194,-84.55225
Grand Rapids,MI,Anti-Jewish,2004,1,Michigan,"Grand Rapids, Michigan",42.966413,-85.671177
Wyoming,MI,Anti-Jewish,2004,1,Michigan,"Wyoming, Michigan",42.9133602,-85.7053085
Warren,MI,Anti-Jewish,2004,0,Michigan,"Warren, Michigan",42.511111,-83.02852
Midland,MI,Anti-Jewish,2004,0,Michigan,"Midland, Michigan",43.6155825,-84.2472116
Howard City,MI,Anti-Jewish,2004,1,Michigan,"Howard City, Michigan",43.3955831,-85.467815
Oakland,MI,Anti-Jewish,2004,1,Michigan,"Oakland, Michigan",42.7561109,-83.1434573
Bloomfield Township,MI,Anti-Jewish,2004,2,Michigan,"Bloomfield Township, Michigan",42.5793103,-83.2827093
Novi,MI,Anti-Jewish,2004,1,Michigan,"Novi, Michigan",42.48059,-83.4754913
Royal Oak,MI,Anti-Jewish,2004,0,Michigan,"Royal Oak, Michigan",42.4894801,-83.1446485
Troy,MI,Anti-Jewish,2004,0,Michigan,"Troy, Michigan",42.6064095,-83.1497751
Ottawa,MI,Anti-Jewish,2004,1,Michigan,"Ottawa, Michigan",42.953023,-86.0937312
Washtenaw,MI,Anti-Jewish,2004,2,Michigan,"Washtenaw, Michigan",42.3076493,-83.8473015
Ypsilanti,MI,Anti-Jewish,2004,0,Michigan,"Ypsilanti, Michigan",42.2411499,-83.6129939
Dearborn,MI,Anti-Jewish,2004,1,Michigan,"Dearborn, Michigan",42.3222599,-83.1763145
Garden City,MI,Anti-Jewish,2004,0,Michigan,"Garden City, Michigan",42.3255928,-83.3310422
Hamtramck,MI,Anti-Jewish,2004,0,Michigan,"Hamtramck, Michigan",42.3928151,-83.0496438
Wyandotte,MI,Anti-Jewish,2004,0,Michigan,"Wyandotte, Michigan",42.2142064,-83.1499239
Kearney,NE,Anti-Jewish,2004,0,Nebraska,"Kearney, Nebraska",40.6993303,-99.0816784
Omaha,NE,Anti-Jewish,2004,0,Nebraska,"Omaha, Nebraska",41.26067,-95.940558
Lincoln,NE,Anti-Jewish,2004,1,Nebraska,"Lincoln, Nebraska",40.813624,-96.707298
La Vista,NE,Anti-Jewish,2004,1,Nebraska,"La Vista, Nebraska",41.1838878,-96.031127
Plattsburgh,NY,Anti-Jewish,2004,1,New York,"Plattsburgh, New York",44.6994873,-73.4529124
Buffalo,NY,Anti-Jewish,2004,2,New York,"Buffalo, New York",42.885443,-78.878458
Geneseo,NY,Anti-Jewish,2004,2,New York,"Geneseo, New York",42.795896,-77.816947
Oswego,NY,Anti-Jewish,2004,1,New York,"Oswego, New York",43.4553461,-76.5104973
Troy,NY,Anti-Jewish,2004,1,New York,"Troy, New York",42.7284117,-73.6917851
Stony Brook,NY,Anti-Jewish,2004,1,New York,"Stony Brook, New York",40.9256538,-73.1409429
Cornell University,NY,Anti-Jewish,2004,1,New York,"Cornell University, New York",42.4534492,-76.4735027
New Paltz,NY,Anti-Jewish,2004,1,New York,"New Paltz, New York",41.7475933,-74.0868095
Cleveland,OH,Anti-Jewish,2004,0,Ohio,"Cleveland, Ohio",41.504733,-81.690738
Columbus,OH,Anti-Jewish,2004,6,Ohio,"Columbus, Ohio",39.961993,-83.002748
Philadelphia,PA,Anti-Jewish,2004,1,Pennsylvania,"Philadelphia, Pennsylvania",39.952283,-75.162447
Pittsburgh,PA,Anti-Jewish,2004,2,Pennsylvania,"Pittsburgh, Pennsylvania",40.438514,-79.99734
Harris,TX,Anti-Jewish,2004,2,Texas,"Harris, Texas",29.7751825,-95.3102505
Bellaire,TX,Anti-Jewish,2004,1,Texas,"Bellaire, Texas",29.7057858,-95.4588299
Lubbock,TX,Anti-Jewish,2004,0,Texas,"Lubbock, Texas",33.584514,-101.845009
Lubbock,TX,Anti-Jewish,2004,1,Texas,"Lubbock, Texas",33.584514,-101.845009
Corpus Christi,TX,Anti-Jewish,2004,2,Texas,"Corpus Christi, Texas",27.796413,-97.403737
Rockwall,TX,Anti-Jewish,2004,1,Texas,"Rockwall, Texas",32.9312336,-96.4597089
Arlington,TX,Anti-Jewish,2004,1,Texas,"Arlington, Texas",32.735604,-97.107717
Fort Worth,TX,Anti-Jewish,2004,2,Texas,"Fort Worth, Texas",32.750951,-97.330858
Round Rock,TX,Anti-Jewish,2004,0,Texas,"Round Rock, Texas",30.509042,-97.677217
Dallas,TX,Anti-Jewish,2004,7,Texas,"Dallas, Texas",32.778154,-96.795399
Houston,TX,Anti-Jewish,2004,1,Texas,"Houston, Texas",29.760583,-95.36968
San Antonio,TX,Anti-Jewish,2004,2,Texas,"San Antonio, Texas",29.424582,-98.494607
Norfolk,VA,Anti-Jewish,2004,2,Virginia,"Norfolk, Virginia",36.846824,-76.285059
Portsmouth,VA,Anti-Jewish,2004,0,Virginia,"Portsmouth, Virginia",36.832642,-76.297708
Roanoke,VA,Anti-Jewish,2004,0,Virginia,"Roanoke, Virginia",37.2709704,-79.9414266
Virginia Beach,VA,Anti-Jewish,2004,6,Virginia,"Virginia Beach, Virginia",36.75501,-76.059189
Radford University,VA,Anti-Jewish,2004,1,Virginia,"Radford University, Virginia",37.1382689,-80.5506221
Rockingham,VT,Anti-Jewish,2004,1,Vermont,"Rockingham, Vermont",43.1876028,-72.4889288
Seattle,WA,Anti-Jewish,2004,1,Washington,"Seattle, Washington",47.603569,-122.329448
Bristol,CT,Anti-Jewish,2004,0,Connecticut,"Bristol, Connecticut",41.6717648,-72.9492703
Easton,CT,Anti-Jewish,2004,0,Connecticut,"Easton, Connecticut",41.2712056,-73.2966405
Enfield,CT,Anti-Jewish,2004,0,Connecticut,"Enfield, Connecticut",42.0027181,-72.5441445
Groton,CT,Anti-Jewish,2004,0,Connecticut,"Groton, Connecticut",41.3497456,-72.0790717
Manchester,CT,Anti-Jewish,2004,0,Connecticut,"Manchester, Connecticut",41.7759301,-72.5215009
Sp: Sussex County,DE,Anti-Jewish,2004,0,Delaware,"Sp: Sussex County, Delaware",38.7146684,-75.0824362
Atlanta,GA,Anti-Jewish,2004,0,Georgia,"Atlanta, Georgia",33.748313,-84.39111
Carroll County,MD,Anti-Jewish,2004,0,Maryland,"Carroll County, Maryland",39.5423418,-77.0564464
St. Joseph,MI,Anti-Jewish,2004,0,Michigan,"St. Joseph, Michigan",42.0938577,-86.4895463
Battle Creek,MI,Anti-Jewish,2004,0,Michigan,"Battle Creek, Michigan",42.3211522,-85.1797142
Grand Traverse,MI,Anti-Jewish,2004,0,Michigan,"Grand Traverse, Michigan",44.687984,-85.520024
Lansing,MI,Anti-Jewish,2004,0,Michigan,"Lansing, Michigan",42.73194,-84.55225
Lansing,MI,Anti-Jewish,2004,0,Michigan,"Lansing, Michigan",42.73194,-84.55225
Mount Pleasant,MI,Anti-Jewish,2004,0,Michigan,"Mount Pleasant, Michigan",43.5978075,-84.7675139
Adrian,MI,Anti-Jewish,2004,0,Michigan,"Adrian, Michigan",41.8975471,-84.0371659
Macomb,MI,Anti-Jewish,2004,0,Michigan,"Macomb, Michigan",42.6651965,-82.9286428
New Baltimore,MI,Anti-Jewish,2004,0,Michigan,"New Baltimore, Michigan",42.6811436,-82.7368616
Clinton Township,MI,Anti-Jewish,2004,0,Michigan,"Clinton Township, Michigan",42.5868882,-82.9195514
Beverly Hills,MI,Anti-Jewish,2004,0,Michigan,"Beverly Hills, Michigan",42.516131,-83.2625577
Birmingham,MI,Anti-Jewish,2004,0,Michigan,"Birmingham, Michigan",42.5467012,-83.2113192
White Lake Township,MI,Anti-Jewish,2004,0,Michigan,"White Lake Township, Michigan",42.6592995,-83.4856913
St. Clair,MI,Anti-Jewish,2004,0,Michigan,"St. Clair, Michigan",42.8208653,-82.486024
Croswell,MI,Anti-Jewish,2004,0,Michigan,"Croswell, Michigan",43.2755809,-82.621038
Ann Arbor,MI,Anti-Jewish,2004,0,Michigan,"Ann Arbor, Michigan",42.282102,-83.748469
Detroit,MI,Anti-Jewish,2004,0,Michigan,"Detroit, Michigan",42.331681,-83.047997
Inkster,MI,Anti-Jewish,2004,0,Michigan,"Inkster, Michigan",42.2942045,-83.3099303
Livonia,MI,Anti-Jewish,2004,0,Michigan,"Livonia, Michigan",42.36837,-83.3527097
Utica,NY,Anti-Jewish,2004,0,New York,"Utica, New York",43.100903,-75.232664
Nashville,TN,Anti-Jewish,2004,0,Tennessee,"Nashville, Tennessee",36.167843,-86.778159
Austin,TX,Anti-Jewish,2004,0,Texas,"Austin, Texas",30.267593,-97.742988
Falls Church,VA,Anti-Jewish,2004,0,Virginia,"Falls Church, Virginia",38.882334,-77.1710914
Newport News,VA,Anti-Jewish,2004,0,Virginia,"Newport News, Virginia",37.082884,-76.480228
Suffolk,VA,Anti-Jewish,2004,0,Virginia,"Suffolk, Virginia",36.7282054,-76.5835621
Milwaukee,WI,Anti-Jewish,2004,0,Wisconsin,"Milwaukee, Wisconsin",43.042004,-87.906867
Rockford,IL,Anti-Jewish,2004,0,Illinois,"Rockford, Illinois",42.266902,-89.078058
Clare,MI,Anti-Jewish,2004,0,Michigan,"Clare, Michigan",43.8194703,-84.7686281
Flushing Township,MI,Anti-Jewish,2004,0,Michigan,"Flushing Township, Michigan",43.107465,-83.8685072
Grand Blanc Township,MI,Anti-Jewish,2004,0,Michigan,"Grand Blanc Township, Michigan",42.9125171,-83.666758
Hamburg Township,MI,Anti-Jewish,2004,0,Michigan,"Hamburg Township, Michigan",42.4641977,-83.8510786
Center Line,MI,Anti-Jewish,2004,0,Michigan,"Center Line, Michigan",42.4850362,-83.0277002
Roseville,MI,Anti-Jewish,2004,0,Michigan,"Roseville, Michigan",42.4972583,-82.9371409
Montcalm,MI,Anti-Jewish,2004,0,Michigan,"Montcalm, Michigan",43.3057341,-85.1894045
West Bloomfield Township,MI,Anti-Jewish,2004,0,Michigan,"West Bloomfield Township, Michigan",42.5678534,-83.373339
Dearborn Heights,MI,Anti-Jewish,2004,0,Michigan,"Dearborn Heights, Michigan",42.3369816,-83.2732627
Melvindale,MI,Anti-Jewish,2004,0,Michigan,"Melvindale, Michigan",42.2825383,-83.175203
Romulus,MI,Anti-Jewish,2004,0,Michigan,"Romulus, Michigan",42.2222614,-83.3965994
Wayne,MI,Anti-Jewish,2004,0,Michigan,"Wayne, Michigan",42.2814269,-83.3863214
Richmond,VA,Anti-Jewish,2004,0,Virginia,"Richmond, Virginia",37.540702,-77.433649
East Hampton,CT,Anti-Jewish,2004,0,Connecticut,"East Hampton, Connecticut",41.5757748,-72.5026249
Newington,CT,Anti-Jewish,2004,0,Connecticut,"Newington, Connecticut",41.6972996,-72.7228293
Bonner Springs,KS,Anti-Jewish,2004,0,Kansas,"Bonner Springs, Kansas",39.059726,-94.8835754
Kansas City,KS,Anti-Jewish,2004,0,Kansas,"Kansas City, Kansas",39.113522,-94.626819
Salina,KY,Anti-Jewish,2004,0,Kentucky,"Salina, Kentucky",38.833108,-97.6255517
Farmington Hills,MI,Anti-Jewish,2004,0,Michigan,"Farmington Hills, Michigan",42.4989936,-83.3677168
Kansas City,MO,Anti-Jewish,2004,0,Missouri,"Kansas City, Missouri",39.10295,-94.58309
Putnam County,NY,Anti-Jewish,2004,0,New York,"Putnam County, New York",41.4351069,-73.7948516
Sullivan County,NY,Anti-Jewish,2004,0,New York,"Sullivan County, New York",41.6897493,-74.7805192
Memphis,TN,Anti-Jewish,2004,0,Tennessee,"Memphis, Tennessee",35.149763,-90.049249
Nashville,TN,Anti-Jewish,2004,0,Tennessee,"Nashville, Tennessee",36.167843,-86.778159
San Marcos,TX,Anti-Jewish,2004,0,Texas,"San Marcos, Texas",29.8832749,-97.9413941
Tyler,TX,Anti-Jewish,2004,0,Texas,"Tyler, Texas",32.347633,-95.294298
Euless,TX,Anti-Jewish,2004,0,Texas,"Euless, Texas",32.8370727,-97.0819541
Austin,TX,Anti-Jewish,2004,0,Texas,"Austin, Texas",30.267593,-97.742988
Wichita Falls,TX,Anti-Jewish,2004,0,Texas,"Wichita Falls, Texas",33.908302,-98.500987
Bristol,VA,Anti-Jewish,2004,0,Virginia,"Bristol, Virginia",36.595141,-82.1888089
Groton Town,CT,Anti-Jewish,2004,0,Connecticut,"Groton Town, Connecticut",41.3497456,-72.0790717
Clare,MI,Anti-Jewish,2004,0,Michigan,"Clare, Michigan",43.8194703,-84.7686281
Mundy Township,MI,Anti-Jewish,2004,0,Michigan,"Mundy Township, Michigan",42.9069105,-83.7411631
Swartz Creek,MI,Anti-Jewish,2004,0,Michigan,"Swartz Creek, Michigan",42.9572508,-83.8305144
Eastpointe,MI,Anti-Jewish,2004,0,Michigan,"Eastpointe, Michigan",42.4683698,-82.9554746
St. Clair Shores,MI,Anti-Jewish,2004,0,Michigan,"St. Clair Shores, Michigan",42.4974085,-82.8963604
Shelby Township,MI,Anti-Jewish,2004,0,Michigan,"Shelby Township, Michigan",42.670782,-83.0329934
Wixom,MI,Anti-Jewish,2004,0,Michigan,"Wixom, Michigan",42.5247555,-83.5363268
Oakland University,MI,Anti-Jewish,2004,0,Michigan,"Oakland University, Michigan",42.6679384,-83.2081921
Saginaw,MI,Anti-Jewish,2004,0,Michigan,"Saginaw, Michigan",43.4194699,-83.9508068
Westland,MI,Anti-Jewish,2004,0,Michigan,"Westland, Michigan",42.324204,-83.400211
Detroit,MI,Anti-Jewish,2004,0,Michigan,"Detroit, Michigan",42.331681,-83.047997
Waco,TX,Anti-Jewish,2004,0,Texas,"Waco, Texas",31.571824,-97.149498
Hampton,VA,Anti-Jewish,2004,0,Virginia,"Hampton, Virginia",37.027792,-76.345117
Branford,CT,Anti-Jewish,2004,0,Connecticut,"Branford, Connecticut",41.2799027,-72.8141185
Fairfield,CT,Anti-Jewish,2004,0,Connecticut,"Fairfield, Connecticut",41.1408363,-73.2612615
Glastonbury,CT,Anti-Jewish,2004,0,Connecticut,"Glastonbury, Connecticut",41.6861794,-72.5450779
Greenwich,CT,Anti-Jewish,2004,0,Connecticut,"Greenwich, Connecticut",41.0262417,-73.6281964
Monroe,CT,Anti-Jewish,2004,0,Connecticut,"Monroe, Connecticut",41.3325962,-73.2073358
New Milford,CT,Anti-Jewish,2004,0,Connecticut,"New Milford, Connecticut",41.5770433,-73.4085463
Metro Transit Police,DC,Anti-Jewish,2004,0,District of Columbia,"Metro Transit Police, District of Columbia",38.8978458,-77.0194691
Worcester County,MD,Anti-Jewish,2004,0,Maryland,"Worcester County, Maryland",38.1584227,-75.4344727
Delta College,MI,Anti-Jewish,2004,0,Michigan,"Delta College, Michigan",43.5579516,-83.9860036
Coloma Township,MI,Anti-Jewish,2004,0,Michigan,"Coloma Township, Michigan",42.2072135,-86.3275351
Cass,MI,Anti-Jewish,2004,0,Michigan,"Cass, Michigan",41.9299158,-86.0121573
Brighton,MI,Anti-Jewish,2004,0,Michigan,"Brighton, Michigan",42.5294773,-83.7802214
Berkley,MI,Anti-Jewish,2004,0,Michigan,"Berkley, Michigan",42.5030908,-83.1835389
Ferndale,MI,Anti-Jewish,2004,0,Michigan,"Ferndale, Michigan",42.4605917,-83.1346478
Oak Park,MI,Anti-Jewish,2004,0,Michigan,"Oak Park, Michigan",42.4594803,-83.1827051
Southfield,MI,Anti-Jewish,2004,0,Michigan,"Southfield, Michigan",42.4733688,-83.2218731
Ann Arbor,MI,Anti-Jewish,2004,0,Michigan,"Ann Arbor, Michigan",42.282102,-83.748469
Plymouth,MI,Anti-Jewish,2004,0,Michigan,"Plymouth, Michigan",42.3714253,-83.4702132
Trenton,MI,Anti-Jewish,2004,0,Michigan,"Trenton, Michigan",42.1394858,-83.1782587
St. Louis,MO,Anti-Jewish,2004,0,Missouri,"St. Louis, Missouri",38.6270025,-90.1994042
Papillion,NE,Anti-Jewish,2004,0,Nebraska,"Papillion, Nebraska",41.1544432,-96.0422378
Midland,TX,Anti-Jewish,2004,0,Texas,"Midland, Texas",32.000184,-102.074441
Keller,TX,Anti-Jewish,2004,0,Texas,"Keller, Texas",32.9341893,-97.229298
Isd: Austin,TX,Anti-Jewish,2004,0,Texas,"Isd: Austin, Texas",30.2287935,-97.7634019
Victoria,TX,Anti-Jewish,2004,0,Texas,"Victoria, Texas",28.8052674,-97.0035982
Williamson,TX,Anti-Jewish,2004,0,Texas,"Williamson, Texas",30.7591685,-97.6982272
Hartford,CT,Anti-Jewish,2004,0,Connecticut,"Hartford, Connecticut",41.763493,-72.674017
Frankenmuth,MI,Anti-Jewish,2004,0,Michigan,"Frankenmuth, Michigan",43.331691,-83.7380194
Taylor,MI,Anti-Jewish,2004,0,Michigan,"Taylor, Michigan",42.240872,-83.2696509
Berlin,CT,Anti-Jewish,2004,0,Connecticut,"Berlin, Connecticut",41.621488,-72.7456519
Kansas City,KS,Anti-Jewish,2004,0,Kansas,"Kansas City, Kansas",39.113522,-94.626819
Hampton Township,MI,Anti-Jewish,2004,0,Michigan,"Hampton Township, Michigan",43.6411989,-83.7836403
Davison Township,MI,Anti-Jewish,2004,0,Michigan,"Davison Township, Michigan",43.0010681,-83.517682
Ingham,MI,Anti-Jewish,2004,0,Michigan,"Ingham, Michigan",42.6468943,-84.3542049
East Lansing,MI,Anti-Jewish,2004,0,Michigan,"East Lansing, Michigan",42.7369792,-84.4838654
Meridian Township,MI,Anti-Jewish,2004,0,Michigan,"Meridian Township, Michigan",42.7265389,-84.4150644
Monroe,MI,Anti-Jewish,2004,0,Michigan,"Monroe, Michigan",41.9164343,-83.3977101
Clawson,MI,Anti-Jewish,2004,0,Michigan,"Clawson, Michigan",42.5333682,-83.1463166
Milford,MI,Anti-Jewish,2004,0,Michigan,"Milford, Michigan",42.5916684,-83.6003703
Lathrup Village,MI,Anti-Jewish,2004,0,Michigan,"Lathrup Village, Michigan",42.4964242,-83.2227067
Canton Township,MI,Anti-Jewish,2004,0,Michigan,"Canton Township, Michigan",42.3086444,-83.482116
Newark,NJ,Anti-Jewish,2004,0,New Jersey,"Newark, New Jersey",40.731973,-74.174211
Suny College: Buffalo,NY,Anti-Jewish,2004,0,New York,"Suny College: Buffalo, New York",42.9335922,-78.8820665
Suny College: Purchase,NY,Anti-Jewish,2004,0,New York,"Suny College: Purchase, New York",41.0466485,-73.6977661
Broome County,NY,Anti-Jewish,2004,0,New York,"Broome County, New York",42.1791865,-75.8533954
Dutchess County,NY,Anti-Jewish,2004,0,New York,"Dutchess County, New York",41.7784372,-73.7477857
Miami Township,OH,Anti-Jewish,2004,0,Ohio,"Miami Township, Ohio",39.6128751,-84.2489525
Trotwood,OH,Anti-Jewish,2004,0,Ohio,"Trotwood, Ohio",39.7972788,-84.3113334
La Porte,TX,Anti-Jewish,2004,0,Texas,"La Porte, Texas",29.6657838,-95.0193728
Charlottesville,VA,Anti-Jewish,2004,0,Virginia,"Charlottesville, Virginia",38.0293059,-78.4766781
Anchorage,AK,Anti-Jewish,2004,0,Alaska,"Anchorage, Alaska",61.217528,-149.85825
Bridgeport,CT,Anti-Jewish,2004,0,Connecticut,"Bridgeport, Connecticut",41.181883,-73.19127
Fairfax City,VA,Anti-Jewish,2004,0,Virginia,"Fairfax City, Virginia",38.8462236,-77.3063733
Coventry,CT,Anti-Jewish,2004,0,Connecticut,"Coventry, Connecticut",41.78468,-72.3393021
Naugatuck,CT,Anti-Jewish,2004,0,Connecticut,"Naugatuck, Connecticut",41.485921,-73.0506972
New Britain,CT,Anti-Jewish,2004,0,Connecticut,"New Britain, Connecticut",41.6612104,-72.7795419
New London,CT,Anti-Jewish,2004,0,Connecticut,"New London, Connecticut",41.3556539,-72.0995209
Rowan,KY,Anti-Jewish,2004,0,Kentucky,"Rowan, Kentucky",38.177068,-83.4643551
Niles,MI,Anti-Jewish,2004,0,Michigan,"Niles, Michigan",41.8297694,-86.2541768
Rochester,MI,Anti-Jewish,2004,0,Michigan,"Rochester, Michigan",42.680588,-83.1338214
Northville Township,MI,Anti-Jewish,2004,0,Michigan,"Northville Township, Michigan",42.4138139,-83.4690247
Cortland,NY,Anti-Jewish,2004,0,New York,"Cortland, New York",42.6011813,-76.1804843
Madison County,NY,Anti-Jewish,2004,0,New York,"Madison County, New York",42.9805975,-75.8069082
Montgomery,OH,Anti-Jewish,2004,0,Ohio,"Montgomery, Ohio",39.2281143,-84.3541062
Middlesex,VT,Anti-Jewish,2004,0,Vermont,"Middlesex, Vermont",44.2928358,-72.6792807
Harrisonburg,VA,Anti-Jewish,2004,0,Virginia,"Harrisonburg, Virginia",38.4495688,-78.8689155
Natrona,WY,Anti-Jewish,2004,0,Wyoming,"Natrona, Wyoming",42.8313837,-106.912251
Laramie,WY,Anti-Jewish,2004,0,Wyoming,"Laramie, Wyoming",41.3113669,-105.5911007
Ohio,WV,Anti-Jewish,2004,0,West Virginia,"Ohio, West Virginia",40.1111311,-80.610489
Monongalia,WV,Anti-Jewish,2004,0,West Virginia,"Monongalia, West Virginia",39.6695849,-79.9640339
Mercer,WV,Anti-Jewish,2004,0,West Virginia,"Mercer, West Virginia",37.4322638,-81.1196075
Kanawha,WV,Anti-Jewish,2004,0,West Virginia,"Kanawha, West Virginia",38.2556905,-81.4278984
Harrison,WV,Anti-Jewish,2004,0,West Virginia,"Harrison, West Virginia",39.3348126,-80.365865
Hancock,WV,Anti-Jewish,2004,0,West Virginia,"Hancock, West Virginia",40.5123559,-80.5660657
Polk,WI,Anti-Jewish,2004,0,Wisconsin,"Polk, Wisconsin",43.3252703,-88.2169027
Ozaukee,WI,Anti-Jewish,2004,0,Wisconsin,"Ozaukee, Wisconsin",43.367713,-87.927309
Outagamie,WI,Anti-Jewish,2004,0,Wisconsin,"Outagamie, Wisconsin",44.4636545,-88.4016041
Outagamie,WI,Anti-Jewish,2004,0,Wisconsin,"Outagamie, Wisconsin",44.4636545,-88.4016041
Monroe,WI,Anti-Jewish,2004,0,Wisconsin,"Monroe, Wisconsin",42.6011194,-89.6384532
Kenosha,WI,Anti-Jewish,2004,0,Wisconsin,"Kenosha, Wisconsin",42.5847425,-87.8211854
Jefferson,WI,Anti-Jewish,2004,0,Wisconsin,"Jefferson, Wisconsin",43.0055594,-88.8073273
Grant,WI,Anti-Jewish,2004,0,Wisconsin,"Grant, Wisconsin",42.9397015,-90.6773046
Fond du Lac,WI,Anti-Jewish,2004,0,Wisconsin,"Fond du Lac, Wisconsin",43.7730448,-88.4470508
Eau Claire,WI,Anti-Jewish,2004,0,Wisconsin,"Eau Claire, Wisconsin",44.811349,-91.4984941
Dane,WI,Anti-Jewish,2004,0,Wisconsin,"Dane, Wisconsin",43.2505472,-89.5015088
Dane,WI,Anti-Jewish,2004,0,Wisconsin,"Dane, Wisconsin",43.2505472,-89.5015088
Dane,WI,Anti-Jewish,2004,0,Wisconsin,"Dane, Wisconsin",43.2505472,-89.5015088
Yakima,WA,Anti-Jewish,2004,0,Washington,"Yakima, Washington",46.6020711,-120.5058987
Whitman,WA,Anti-Jewish,2004,0,Washington,"Whitman, Washington",46.8363403,-117.5887295
Whatcom,WA,Anti-Jewish,2004,0,Washington,"Whatcom, Washington",48.8787167,-121.9718657
Walla Walla,WA,Anti-Jewish,2004,0,Washington,"Walla Walla, Washington",46.0645809,-118.3430209
Thurston,WA,Anti-Jewish,2004,0,Washington,"Thurston, Washington",46.8645747,-122.7695986
Thurston,WA,Anti-Jewish,2004,0,Washington,"Thurston, Washington",46.8645747,-122.7695986
Spokane,WA,Anti-Jewish,2004,0,Washington,"Spokane, Washington",47.657256,-117.412277
Snohomish,WA,Anti-Jewish,2004,1,Washington,"Snohomish, Washington",47.9128756,-122.0981848
Snohomish,WA,Anti-Jewish,2004,0,Washington,"Snohomish, Washington",47.9128756,-122.0981848
Snohomish,WA,Anti-Jewish,2004,0,Washington,"Snohomish, Washington",47.9128756,-122.0981848
Pierce,WA,Anti-Jewish,2004,1,Washington,"Pierce, Washington",46.6348589,-119.4522464
Pierce,WA,Anti-Jewish,2004,0,Washington,"Pierce, Washington",46.6348589,-119.4522464
Kittitas,WA,Anti-Jewish,2004,0,Washington,"Kittitas, Washington",46.9831822,-120.4170102
Kitsap,WA,Anti-Jewish,2004,0,Washington,"Kitsap, Washington",47.6476607,-122.6412583
Kitsap,WA,Anti-Jewish,2004,0,Washington,"Kitsap, Washington",47.6476607,-122.6412583
Kitsap,WA,Anti-Jewish,2004,0,Washington,"Kitsap, Washington",47.6476607,-122.6412583
King,WA,Anti-Jewish,2004,1,Washington,"King, Washington",47.5480339,-121.9836029
King,WA,Anti-Jewish,2004,0,Washington,"King, Washington",47.5480339,-121.9836029
King,WA,Anti-Jewish,2004,0,Washington,"King, Washington",47.5480339,-121.9836029
King,WA,Anti-Jewish,2004,1,Washington,"King, Washington",47.5480339,-121.9836029
King,WA,Anti-Jewish,2004,1,Washington,"King, Washington",47.5480339,-121.9836029
King,WA,Anti-Jewish,2004,0,Washington,"King, Washington",47.5480339,-121.9836029
King,WA,Anti-Jewish,2004,0,Washington,"King, Washington",47.5480339,-121.9836029
King,WA,Anti-Jewish,2004,0,Washington,"King, Washington",47.5480339,-121.9836029
King,WA,Anti-Jewish,2004,0,Washington,"King, Washington",47.5480339,-121.9836029
King,WA,Anti-Jewish,2004,0,Washington,"King, Washington",47.5480339,-121.9836029
King,WA,Anti-Jewish,2004,0,Washington,"King, Washington",47.5480339,-121.9836029
King,WA,Anti-Jewish,2004,0,Washington,"King, Washington",47.5480339,-121.9836029
