City,State,Year,Anti-Jewish,Anti-Islamic,Full,clean,lat,long
Boca Raton,FL,2010,3,0,Florida,"boca raton, florida",26.3683064,-80.1289321
Boca Raton,FL,2011,1,0,Florida,"boca raton, florida",26.3683064,-80.1289321
Boca Raton,FL,2012,0,0,Florida,"boca raton, florida",26.3683064,-80.1289321
Boca Raton,FL,2013,0,0,Florida,"boca raton, florida",26.3683064,-80.1289321
Boca Raton,FL,2014,0,0,Florida,"boca raton, florida",26.3683064,-80.1289321
Boca Raton,FL,2015,0,0,Florida,"boca raton, florida",26.3683064,-80.1289321
Boynton Beach,FL,2010,0,0,Florida,"boynton beach, florida",26.5317866,-80.0905465
Boynton Beach,FL,2011,1,0,Florida,"boynton beach, florida",26.5317866,-80.0905465
Boynton Beach,FL,2012,0,0,Florida,"boynton beach, florida",26.5317866,-80.0905465
Boynton Beach,FL,2013,0,0,Florida,"boynton beach, florida",26.5317866,-80.0905465
Boynton Beach,FL,2014,0,0,Florida,"boynton beach, florida",26.5317866,-80.0905465
Boynton Beach,FL,2015,0,0,Florida,"boynton beach, florida",26.5317866,-80.0905465
Lake Worth,FL,2010,1,0,Florida,"lake worth, florida",26.6167555,-80.0684479
Lake Worth,FL,2011,0,0,Florida,"lake worth, florida",26.6167555,-80.0684479
Lake Worth,FL,2012,0,0,Florida,"lake worth, florida",26.6167555,-80.0684479
Lake Worth,FL,2013,0,0,Florida,"lake worth, florida",26.6167555,-80.0684479
Lake Worth,FL,2014,0,0,Florida,"lake worth, florida",26.6167555,-80.0684479
Lake Worth,FL,2015,0,0,Florida,"lake worth, florida",26.6167555,-80.0684479
Lake Clarke Shores,FL,2010,0,0,Florida,"lake clarke shores, florida",26.6453449,-80.0758754
Lake Clarke Shores,FL,2011,0,0,Florida,"lake clarke shores, florida",26.6453449,-80.0758754
Lake Clarke Shores,FL,2012,0,1,Florida,"lake clarke shores, florida",26.6453449,-80.0758754
Lake Clarke Shores,FL,2013,0,0,Florida,"lake clarke shores, florida",26.6453449,-80.0758754
Lake Clarke Shores,FL,2014,0,0,Florida,"lake clarke shores, florida",26.6453449,-80.0758754
Lake Clarke Shores,FL,2015,0,0,Florida,"lake clarke shores, florida",26.6453449,-80.0758754
Wellington,FL,2010,0,0,Florida,"wellington, florida",26.6617635,-80.2683571
Wellington,FL,2011,0,0,Florida,"wellington, florida",26.6617635,-80.2683571
Wellington,FL,2012,1,0,Florida,"wellington, florida",26.6617635,-80.2683571
Wellington,FL,2013,0,0,Florida,"wellington, florida",26.6617635,-80.2683571
Wellington,FL,2014,0,0,Florida,"wellington, florida",26.6617635,-80.2683571
Wellington,FL,2015,0,0,Florida,"wellington, florida",26.6617635,-80.2683571
Palm Beach,FL,2010,2,0,Florida,"palm beach, florida",26.7056206,-80.0364297
Palm Beach,FL,2011,1,0,Florida,"palm beach, florida",26.7056206,-80.0364297
Palm Beach,FL,2012,1,0,Florida,"palm beach, florida",26.7056206,-80.0364297
Palm Beach,FL,2013,1,0,Florida,"palm beach, florida",26.7056206,-80.0364297
Palm Beach,FL,2014,0,0,Florida,"palm beach, florida",26.7056206,-80.0364297
Palm Beach,FL,2015,0,0,Florida,"palm beach, florida",26.7056206,-80.0364297
Royal Palm Beach,FL,2010,0,0,Florida,"royal palm beach, florida",26.7083984,-80.2306019
Royal Palm Beach,FL,2011,1,0,Florida,"royal palm beach, florida",26.7083984,-80.2306019
Royal Palm Beach,FL,2012,0,0,Florida,"royal palm beach, florida",26.7083984,-80.2306019
