date,longitude,latitude,city,state,dnr_zero,population,abbr
2004,-94.101349,30.086154,Beaumont,Texas,Reported 0 in at least 1 quarter,NA,TX
2004,-86.394349,35.844393,Murfreesboro,Tennessee,Reported 0 in at least 1 quarter,NA,TN
2004,-96.731278,43.545774,Sioux Falls,South Dakota,Reported 0 in at least 1 quarter,NA,SD
2004,-71.41199,41.82387,Providence,Rhode Island,Reported 0 in at least 1 quarter,NA,RI
2004,-75.470257,40.602602,Allentown,Pennsylvania,Reported 0 in at least 1 quarter,NA,PA
2004,-122.435337,45.506276,Gresham,Oregon,Reported 0 in at least 1 quarter,NA,OR
2004,-123.088537,44.049921,Eugene,Oregon,Reported 0 in at least 1 quarter,NA,OR
2004,-97.521069,35.472031,Oklahoma City,Oklahoma,Reported 0 in at least 1 quarter,NA,OK
2004,-80.241087,36.099623,Winston-Salem,North Carolina,Reported 0 in at least 1 quarter,NA,NC
2004,-77.945998,34.234971,Wilmington,North Carolina,Reported 0 in at least 1 quarter,NA,NC
2004,-78.781158,35.78975,Cary,North Carolina,Reported 0 in at least 1 quarter,NA,NC
2004,-76.147379,43.050282,Syracuse,New York,Reported 0 in at least 1 quarter,NA,NY
2004,-78.782759,43.018882,Amherst Town,New York,Reported 0 in at least 1 quarter,NA,NY
2004,-114.981509,36.031234,Henderson,Nevada,Reported 0 in at least 1 quarter,NA,NV
2004,-83.137019,42.683424,Rochester,Michigan,Reported 0 in at least 1 quarter,NA,MI
2004,-105.076261,40.581472,Fort Collins,Colorado,Reported 0 in at least 1 quarter,NA,CO
2004,-104.61237,38.26386,Pueblo,Colorado,Reported 0 in at least 1 quarter,NA,CO
2004,-104.985408,39.869481,Thornton,Colorado,Reported 0 in at least 1 quarter,NA,CO
2004,-73.542231,41.051822,Stamford,Connecticut,Reported 0 in at least 1 quarter,NA,CT
2004,-73.04617,41.554072,Waterbury,Connecticut,Reported 0 in at least 1 quarter,NA,CT
2004,-80.253149,26.272492,Coral Springs,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-81.391859,30.288991,Jacksonville Beach,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-80.197728,25.774813,Miami,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-80.223238,25.927493,Miami Gardens,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-80.194758,25.983243,Pembroke Park,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-80.125218,26.231453,Pompano Beach,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-84.280651,30.439773,Tallahassee,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-80.053188,26.714394,West Palm Beach,Florida,Reported 0 in at least 1 quarter,NA,FL
2004,-86.25405,41.679073,South Bend,Indiana,Reported 0 in at least 1 quarter,NA,IN
2004,-91.673759,41.976342,Cedar Rapids,Iowa,Reported 0 in at least 1 quarter,NA,IA
2004,-93.747268,32.51461,Shreveport,Louisiana,Reported 0 in at least 1 quarter,NA,LA
2004,-83.782599,43.002593,Flint Township,Michigan,Reported 0 in at least 1 quarter,NA,MI
2004,-83.01356,42.593402,Sterling Heights,Michigan,Reported 0 in at least 1 quarter,NA,MI
2004,-78.896441,35.995424,Durham,North Carolina,Reported 0 in at least 1 quarter,NA,NC
